latitude,longitude,acq_date,frp,geometry,index_right,LABEL3,RGB_color,Year,elevation
51.5773,-3.7721,2020-01-09,8.2,POINT (277299.37716916634 187981.30188711383),15637.0,Industrial or commercial units,#cc4df2,2020,10.0
51.578,-3.7777,2020-01-18,18.9,POINT (276913.2477118926 188068.5675176441),15637.0,Industrial or commercial units,#cc4df2,2020,10.0
53.5633,-0.597,2020-01-18,12.5,POINT (493023.3294742502 408324.44493578246),16604.0,Industrial or commercial units,#cc4df2,2020,21.0
53.5659,-0.5936,2020-01-18,8.1,POINT (493242.798741414 408618.1255455698),16604.0,Industrial or commercial units,#cc4df2,2020,21.0
51.5607,-3.7664,2020-01-19,12.9,POINT (277649.72615977004 186125.72414085217),15637.0,Industrial or commercial units,#cc4df2,2020,7.0
51.5669,-3.7707,2020-01-20,17.6,POINT (277368.369656215 186822.40946427645),15637.0,Industrial or commercial units,#cc4df2,2020,14.0
51.565,-3.7659,2020-01-21,14.2,POINT (277695.933174056 186603.07207675878),15637.0,Industrial or commercial units,#cc4df2,2020,8.0
51.5661,-3.7685,2020-01-21,17.8,POINT (277518.6899910409 186729.75422103045),15637.0,Industrial or commercial units,#cc4df2,2020,8.0
56.7882,-2.9122,2020-01-21,19.0,POINT (344369.46101708314 766665.1925748151),68463.0,Moors and heathland,#a6ff80,2020,327.0
55.5044,-2.035,2020-01-22,24.7,POINT (397887.48026506655 623403.2672785729),49957.0,Natural grasslands,#ccf24d,2020,285.0
56.0996,-3.3019,2020-01-27,10.1,POINT (319111.0288149966 690410.7388241221),17386.0,Industrial or commercial units,#cc4df2,2020,130.0
51.5775,-3.7776,2020-02-01,6.1,POINT (276918.82443260844 188012.79604919167),15637.0,Industrial or commercial units,#cc4df2,2020,10.0
51.5666,-3.7664,2020-02-01,8.2,POINT (277665.5777818555 186781.83862706955),15637.0,Industrial or commercial units,#cc4df2,2020,8.0
56.0982,-3.3091,2020-02-03,13.4,POINT (318660.21081840806 690263.4039277284),36717.0,Pastures,#e6e64d,2020,131.0
56.1001,-3.3077,2020-02-03,9.1,POINT (318751.3054688204 690473.2064642002),36717.0,Pastures,#e6e64d,2020,138.0
56.0975,-3.3084,2020-02-04,17.5,POINT (318702.27742040285 690184.6740860619),17386.0,Industrial or commercial units,#cc4df2,2020,138.0
56.1006,-3.2977,2020-02-04,14.1,POINT (319374.37492192595 690517.1094001026),17386.0,Industrial or commercial units,#cc4df2,2020,124.0
56.0961,-3.3013,2020-02-04,19.7,POINT (319141.00520217745 690020.5144267475),17386.0,Industrial or commercial units,#cc4df2,2020,147.0
55.9356,-2.3997,2020-02-06,11.7,POINT (375127.9313577114 671465.5713485074),27659.0,Non-irrigated arable land,#ffffa8,2020,120.0
56.097,-3.3004,2020-02-06,22.5,POINT (319198.88059331046 690119.6213931151),17386.0,Industrial or commercial units,#cc4df2,2020,147.0
53.5676,-0.5926,2020-02-06,14.0,POINT (493305.2869129921 408808.55179541203),16604.0,Industrial or commercial units,#cc4df2,2020,22.0
56.0996,-3.307,2020-02-08,20.3,POINT (318793.79307070666 690416.7357849096),36717.0,Pastures,#e6e64d,2020,127.0
51.5636,-3.7694,2020-02-08,8.1,POINT (277449.58552585886 186453.2488839705),15637.0,Industrial or commercial units,#cc4df2,2020,10.0
56.1001,-3.3043,2020-02-12,45.3,POINT (318962.79317416716 690469.2037684361),36717.0,Pastures,#e6e64d,2020,133.0
54.3522,-0.8593,2020-02-12,15.7,POINT (474238.2111670041 495784.2518349581),56336.0,Peat bogs,#4d4dff,2020,294.0
56.0938,-3.2954,2020-02-12,16.3,POINT (319503.23207288387 689757.6381957816),45559.0,Coniferous forest,#00a600,2020,150.0
56.0912,-3.3114,2020-02-12,21.2,POINT (318502.33422405296 689487.0812512189),50574.0,Natural grasslands,#ccf24d,2020,167.0
