latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5773,-3.7721,300.7,1.1,1,2020-01-09,1115,Terra,MODIS,36,6.03,280.2,8.2,D,2
51.578,-3.7777,311.9,1.2,1.1,2020-01-18,1109,Terra,MODIS,54,6.03,277.8,18.9,D,2
53.5633,-0.597,306.7,1,1,2020-01-18,1109,Terra,MODIS,64,6.03,277,12.5,D,2
53.5659,-0.5936,301,1,1,2020-01-18,1256,Aqua,MODIS,38,6.03,278.5,8.1,D,2
51.5607,-3.7664,300.5,1.4,1.2,2020-01-19,1152,Terra,MODIS,0,6.03,278.9,12.9,D,2
51.5669,-3.7707,314.5,1,1,2020-01-20,2208,Terra,MODIS,89,6.03,276.8,17.6,N,2
51.565,-3.7659,305.2,1.2,1.1,2020-01-21,0215,Aqua,MODIS,63,6.03,275.3,14.2,N,2
51.5661,-3.7685,312.8,1.1,1.1,2020-01-21,1140,Terra,MODIS,55,6.03,279.5,17.8,D,2
56.7882,-2.9122,305.9,1.5,1.2,2020-01-21,1328,Aqua,MODIS,62,6.03,280.8,19,D,0
55.5044,-2.035,315.7,1.3,1.1,2020-01-22,1232,Aqua,MODIS,76,6.03,281.6,24.7,D,0
56.0996,-3.3019,302.8,1,1,2020-01-27,1251,Aqua,MODIS,54,6.03,275.8,10.1,D,0
51.5775,-3.7776,300.4,1,1,2020-02-01,1122,Terra,MODIS,26,6.03,281.8,6.1,D,2
51.5666,-3.7664,304.1,1,1,2020-02-01,1122,Terra,MODIS,0,6.03,282.6,8.2,D,2
56.0982,-3.3091,302.3,1.3,1.1,2020-02-03,1108,Terra,MODIS,51,6.03,276.4,13.4,D,0
56.1001,-3.3077,302.8,1,1,2020-02-03,1257,Aqua,MODIS,54,6.03,276.7,9.1,D,0
56.0975,-3.3084,309.9,1.2,1.1,2020-02-04,1151,Terra,MODIS,69,6.03,278.7,17.5,D,0
56.1006,-3.2977,301.7,1.4,1.2,2020-02-04,2127,Terra,MODIS,44,6.03,273.3,14.1,N,0
56.0961,-3.3013,307.7,1.4,1.2,2020-02-04,2127,Terra,MODIS,72,6.03,273.7,19.7,N,0
55.9356,-2.3997,306.1,1.1,1,2020-02-06,1139,Terra,MODIS,63,6.03,279,11.7,D,0
56.097,-3.3004,320.1,1,1,2020-02-06,1139,Terra,MODIS,80,6.03,278,22.5,D,0
53.5676,-0.5926,304,1.3,1.1,2020-02-06,1140,Terra,MODIS,54,6.03,279.6,14,D,2
56.0996,-3.307,317.7,1,1,2020-02-08,1127,Terra,MODIS,78,6.03,277.9,20.3,D,0
51.5636,-3.7694,304.4,1,1,2020-02-08,1128,Terra,MODIS,0,6.03,282.4,8.1,D,2
56.1001,-3.3043,322.9,1.5,1.2,2020-02-12,1103,Terra,MODIS,76,6.03,275,45.3,D,0
54.3522,-0.8593,308.3,1.2,1.1,2020-02-12,1103,Terra,MODIS,67,6.03,275.4,15.7,D,0
56.0938,-3.2954,311.9,1,1,2020-02-12,1251,Aqua,MODIS,54,6.03,274.3,16.3,D,0
56.0912,-3.3114,317.5,1,1,2020-02-12,1251,Aqua,MODIS,59,6.03,275.6,21.2,D,0
53.5719,-0.5842,302.3,1.4,1.2,2020-02-17,0156,Aqua,MODIS,48,6.03,275.4,16.3,N,2
51.5745,-3.7765,301.7,1,1,2020-02-26,1302,Aqua,MODIS,0,6.03,277.5,8.2,D,2
53.5687,-0.5961,301.8,1.2,1.1,2020-03-02,1134,Terra,MODIS,46,6.03,280.9,9.1,D,2
56.0964,-3.3084,348.2,1,1,2020-03-03,2152,Terra,MODIS,100,6.03,274.9,64.2,N,0
55.525,-2.1908,300.5,1.1,1,2020-03-04,1309,Aqua,MODIS,38,6.03,278,8.2,D,0
